file,rate,total_requests,concurrent_connections,request_rate,reply_rate_avg,reply_rate_stdev,reply_samples,total_size,200_statuses,net_io
test_freq_1_per_day_tokyo.txt,520,10000,131,512.4,518.7,1.1,3,3573.0,10000,1873.3 KB/s
test_freq_1_per_day_tokyo.txt,760,8162,1020,218.6,233.1,241.9,7,3561.0,8136,797.1 KB/s
test_freq_1_per_day_tokyo.txt,640,10000,884,377.7,399.6,290.4,5,3562.0,9974,1377.8 KB/s
test_freq_1_per_day_tokyo.txt,580,10000,633,430.7,496.4,99.4,4,3573.0,10000,1574.4 KB/s
test_freq_1_per_day_tokyo.txt,550,10000,275,473.5,496.9,89.9,4,3573.0,10000,1730.9 KB/s
test_freq_1_per_day_tokyo.txt,535,10000,183,526.4,528.7,7.4,3,3573.0,10000,1924.4 KB/s
test_freq_1_per_day_tokyo.txt,542,10000,158,537.8,538.4,11.8,3,3573.0,10000,1965.9 KB/s
test_freq_1_per_day_tokyo.txt,546,10000,406,422.7,490.7,79.8,4,3573.0,10000,1545.1 KB/s
test_freq_1_per_day_tokyo.txt,544,10000,158,508.4,543.6,23.3,3,3573.0,10000,1858.6 KB/s
test_freq_1_per_day_synckit.txt,520,10000,704,363.6,399.7,205.0,5,3574.0,10000,1363.5 KB/s
test_freq_1_per_day_synckit.txt,279,10000,4,279.0,279.0,0.2,7,3574.0,10000,1046.1 KB/s
test_freq_1_per_day_synckit.txt,399,10000,26,399.0,398.9,3.0,5,3574.0,10000,1496.0 KB/s
test_freq_1_per_day_synckit.txt,459,10000,93,456.9,458.5,5.6,4,3574.0,10000,1713.2 KB/s
test_freq_1_per_day_synckit.txt,489,10000,350,430.6,477.8,24.9,4,3574.0,10000,1614.7 KB/s
test_freq_1_per_day_synckit.txt,474,10000,120,471.1,472.8,8.7,4,3574.0,10000,1766.5 KB/s
test_freq_1_per_day_synckit.txt,481,10000,134,475.2,478.2,14.9,4,3574.0,10000,1782.0 KB/s
test_freq_1_per_day_synckit.txt,485,10000,298,401.8,471.4,29.0,4,3574.0,10000,1506.8 KB/s
test_freq_1_per_day_synckit.txt,483,10000,215,422.2,473.1,10.3,4,3574.0,10000,1583.2 KB/s
test_freq_1_per_day_traditional.txt,520,5108,1020,95.4,100.1,100.2,10,102096.0,5005,9524.8 KB/s
test_freq_1_per_day_traditional.txt,279,10000,811,174.2,181.7,114.8,11,104616.0,10000,17831.2 KB/s
test_freq_1_per_day_traditional.txt,159,10000,5,159.0,159.0,0.1,12,104616.0,10000,16270.1 KB/s
test_freq_1_per_day_traditional.txt,219,10000,46,218.9,218.9,2.2,9,104616.0,10000,22397.9 KB/s
test_freq_1_per_day_traditional.txt,249,10000,103,248.0,247.7,7.1,8,104616.0,10000,25378.7 KB/s
test_freq_1_per_day_traditional.txt,264,10000,585,177.4,181.8,109.0,11,104616.0,10000,18149.3 KB/s
test_freq_1_per_day_traditional.txt,256,10000,244,230.3,248.7,11.6,8,104616.0,10000,23566.0 KB/s
test_freq_1_per_day_traditional.txt,252,10000,137,251.5,251.1,10.0,7,104616.0,10000,25737.7 KB/s
test_freq_1_per_day_traditional.txt,254,10000,221,243.7,249.0,7.7,8,104616.0,10000,24939.1 KB/s
