file,highest_rate,attempted_rate,avg_data
test_freq_12_per_day_traditional.txt,133.600000,135,159456.000000
test_freq_2_per_day_tokyo.txt,226.200000,193,61086.000000
test_freq_1_per_day_tokyo.txt,232.900000,197,58558.000000
test_freq_0.5_per_day_tokyo.txt,258.900000,197,57103.000000
test_freq_2_per_day_traditional.txt,141.600000,143,152665.000000
test_freq_4_per_day_traditional.txt,138.300000,141,158166.000000
test_freq_6_per_day_tokyo.txt,197.400000,182,67310.000000
test_freq_24_per_day_synckit.txt,580.500000,503,13365.000000
test_freq_0.05_per_day_traditional.txt,145.300000,148,151992.000000
test_freq_0.25_per_day_traditional.txt,147.100000,150,150528.000000
test_freq_4_per_day_synckit.txt,431.600000,390,21209.000000
test_freq_1_per_day_synckit.txt,316.400000,281,38853.000000
test_freq_18_per_day_synckit.txt,574.500000,505,14619.000000
test_freq_0.5_per_day_synckit.txt,317.400000,233,47205.000000
test_freq_18_per_day_tokyo.txt,204.100000,178,69063.000000
test_freq_12_per_day_tokyo.txt,210.300000,180,66991.000000
test_freq_4_per_day_tokyo.txt,208.400000,180,66376.000000
test_freq_12_per_day_synckit.txt,524.100000,458,16087.000000
test_freq_6_per_day_traditional.txt,133.800000,135,158677.000000
test_freq_0.5_per_day_traditional.txt,155.100000,158,150008.000000
test_freq_18_per_day_traditional.txt,137.800000,139,161566.000000
test_freq_1_per_day_traditional.txt,156.000000,158,149578.000000
test_freq_2_per_day_synckit.txt,371.200000,356,29985.000000
test_freq_0.25_per_day_synckit.txt,263.300000,231,48979.000000
test_freq_24_per_day_traditional.txt,137.800000,139,162705.000000
test_freq_6_per_day_synckit.txt,468.300000,428,16729.000000
test_freq_0.05_per_day_synckit.txt,272.000000,240,54248.000000
test_freq_24_per_day_tokyo.txt,206.700000,180,70349.000000
test_freq_0.25_per_day_tokyo.txt,254.500000,203,57018.000000
test_freq_0.05_per_day_tokyo.txt,272.000000,233,55713.000000
